country_code,name,year,age_group,sex,mean_skills,oecd_standard,saf
51,Armenia,1970,20--39,Both,266.40495334284907,269.7014710297242,0.9877771608946404
51,Armenia,1975,20--39,Both,266.5097427429581,269.7014710297242,0.9881656993764995
51,Armenia,1980,20--39,Both,264.35553699593004,269.7014710297242,0.9801783282331265
51,Armenia,1985,20--39,Both,262.4129188287412,269.7014710297242,0.9729754822131479
51,Armenia,1990,20--39,Both,260.1004635756907,269.7014710297242,0.9644013530316439
51,Armenia,1995,20--39,Both,257.57558846699015,269.7014710297242,0.955039612811761
51,Armenia,2000,20--39,Both,256.8536055532427,269.7014710297242,0.9523626421931324
51,Armenia,2005,20--39,Both,254.91767394949736,269.7014710297242,0.9451845886350487
51,Armenia,2010,20--39,Both,254.4505603553193,269.7014710297242,0.9434526233165259
51,Armenia,2015,20--39,Both,254.12590077833386,269.7014710297242,0.9422488494707776
51,Armenia,2020,20--39,Both,255.08954155417936,269.7014710297242,0.9458218399041123
51,Armenia,2025,20--39,Both,255.24516419753078,269.7014710297242,0.9463988580522048
51,Armenia,1970,20--39,Female,263.09743012974945,269.7014710297242,0.9755135154630028
51,Armenia,1975,20--39,Female,263.600205173512,269.7014710297242,0.9773777064214093
51,Armenia,1980,20--39,Female,263.33516342380744,269.7014710297242,0.9763949837514416
51,Armenia,1985,20--39,Female,261.62385985348743,269.7014710297242,0.9700498067533844
51,Armenia,1990,20--39,Female,259.89054562112943,269.7014710297242,0.9636230185503383
51,Armenia,1995,20--39,Female,257.3510643724846,269.7014710297242,0.9542071216368024
51,Armenia,2000,20--39,Female,256.64431203344867,269.7014710297242,0.9515866229931076
51,Armenia,2005,20--39,Female,256.3444079512839,269.7014710297242,0.950474637652354
51,Armenia,2010,20--39,Female,254.5934535490366,269.7014710297242,0.9439824431694609
51,Armenia,2015,20--39,Female,255.4869122379551,269.7014710297242,0.9472952122304054
51,Armenia,2020,20--39,Female,256.89989436278773,269.7014710297242,0.9525342719931787
51,Armenia,2025,20--39,Female,256.7734612739147,269.7014710297242,0.9520654829710413
51,Armenia,1970,20--39,Male,269.8249521720647,269.7014710297242,1.0004578437850897
51,Armenia,1975,20--39,Male,269.66219297209193,269.7014710297242,0.9998543646889196
51,Armenia,1980,20--39,Male,265.4475900692367,269.7014710297242,0.9842274462047014
51,Armenia,1985,20--39,Male,263.24688455570765,269.7014710297242,0.976067663074388
51,Armenia,1990,20--39,Male,260.3225601957222,269.7014710297242,0.9652248436087754
51,Armenia,1995,20--39,Male,257.8208531728484,269.7014710297242,0.9559490060936063
51,Armenia,2000,20--39,Male,257.0884631190927,269.7014710297242,0.9532334478470775
51,Armenia,2005,20--39,Male,253.28432153601014,269.7014710297242,0.9391284391922924
51,Armenia,2010,20--39,Male,254.2840728042413,269.7014710297242,0.9428353202278837
51,Armenia,2015,20--39,Male,252.5350144027903,269.7014710297242,0.9363501557429698
51,Armenia,2020,20--39,Male,252.99630737110311,269.7014710297242,0.9380605393257941
51,Armenia,2025,20--39,Male,253.54997481745923,269.7014710297242,0.9401134293016709
51,Armenia,1970,20--64,Both,258.9556084804055,262.58093963833664,0.9861934717617947
51,Armenia,1975,20--64,Both,259.6353018854128,262.58093963833664,0.9887819818263237
51,Armenia,1980,20--64,Both,259.2639474928862,262.58093963833664,0.9873677344973361
51,Armenia,1985,20--64,Both,258.2577041895485,262.58093963833664,0.9835356082785647
51,Armenia,1990,20--64,Both,257.1176044394364,262.58093963833664,0.9791937099226428
51,Armenia,1995,20--64,Both,256.2248420160132,262.58093963833664,0.9757937585603969
51,Armenia,2000,20--64,Both,255.41760018960346,262.58093963833664,0.9727194995242247
51,Armenia,2005,20--64,Both,254.00883513504084,262.58093963833664,0.967354429780385
51,Armenia,2010,20--64,Both,252.53477658968893,262.58093963833664,0.9617406996011032
51,Armenia,2015,20--64,Both,251.1233529686741,262.58093963833664,0.9563655051069452
51,Armenia,2020,20--64,Both,250.6061492052451,262.58093963833664,0.9543958123937522
51,Armenia,2025,20--64,Both,249.94894002927688,262.58093963833664,0.9518929301324829
51,Armenia,1970,20--64,Female,253.9349829220515,262.58093963833664,0.9670731747392115
51,Armenia,1975,20--64,Female,255.16012314474946,262.58093963833664,0.9717389369395655
51,Armenia,1980,20--64,Female,256.27033059657674,262.58093963833664,0.9759669949751427
51,Armenia,1985,20--64,Female,255.80846034443525,262.58093963833664,0.9742080316140638
51,Armenia,1990,20--64,Female,255.34524929477783,262.58093963833664,0.9724439620273855
51,Armenia,1995,20--64,Female,254.63956809429038,262.58093963833664,0.9697564813539619
51,Armenia,2000,20--64,Female,254.41119719853486,262.58093963833664,0.9688867651587572
51,Armenia,2005,20--64,Female,254.04278491281357,262.58093963833664,0.9674837224008604
51,Armenia,2010,20--64,Female,252.2012062318248,262.58093963833664,0.9604703470830432
51,Armenia,2015,20--64,Female,251.3527375211651,262.58093963833664,0.9572390816613094
51,Armenia,2020,20--64,Female,251.2854857876624,262.58093963833664,0.9569829635531355
51,Armenia,2025,20--64,Female,250.65163760589402,262.58093963833664,0.9545690481233202
51,Armenia,1970,20--64,Male,264.4707328504206,262.58093963833664,1.007196993105009
51,Armenia,1975,20--64,Male,264.559677945109,262.58093963833664,1.0075357271152192
51,Armenia,1980,20--64,Male,262.5613246900909,262.58093963833664,0.9999252994209222
51,Armenia,1985,20--64,Male,260.9188236368357,262.58093963833664,0.9936700812945897
51,Armenia,1990,20--64,Male,259.03264409414487,262.58093963833664,0.986486850305742
51,Armenia,1995,20--64,Male,257.9967468669077,262.58093963833664,0.9825417915796061
51,Armenia,2000,20--64,Male,256.57534235904956,262.58093963833664,0.9771285863796556
51,Armenia,2005,20--64,Male,253.968729785981,262.58093963833664,0.967201694592846
51,Armenia,2010,20--64,Male,252.93987689251782,262.58093963833664,0.9632834631519795
51,Armenia,2015,20--64,Male,250.83860568298383,262.58093963833664,0.9552810879132125
51,Armenia,2020,20--64,Male,249.74881741462067,262.58093963833664,0.951130793265535
51,Armenia,2025,20--64,Male,249.06414154478443,262.58093963833664,0.9485233082333796
51,Armenia,1970,40--64,Both,248.0389035175801,256.87068587245733,0.9656177880909992
51,Armenia,1975,40--64,Both,250.43331497396468,256.87068587245733,0.974939254447707
51,Armenia,1980,40--64,Both,252.3089569749762,256.87068587245733,0.9822411464274825
51,Armenia,1985,40--64,Both,251.83647106438136,256.87068587245733,0.9804017543263944
51,Armenia,1990,40--64,Both,252.30865102496213,256.87068587245733,0.9822399553611953
51,Armenia,1995,40--64,Both,254.23111785001663,256.87068587245733,0.9897241368220923
51,Armenia,2000,40--64,Both,253.70068251359584,256.87068587245733,0.9876591470603404
51,Armenia,2005,40--64,Both,253.06763837754832,256.87068587245733,0.9851947002749962
51,Armenia,2010,40--64,Both,250.588162461032,256.87068587245733,0.9755420771736298
51,Armenia,2015,40--64,Both,247.96309341561792,256.87068587245733,0.965322658649877
51,Armenia,2020,40--64,Both,245.9243626556285,256.87068587245733,0.9573858605949923
51,Armenia,2025,40--64,Both,244.79863158234733,256.87068587245733,0.9530033789215479
51,Armenia,1970,40--64,Female,241.4244766428984,256.87068587245733,0.9398677619554131
51,Armenia,1975,40--64,Female,244.0551085845787,256.87068587245733,0.9501088368867365
51,Armenia,1980,40--64,Female,246.9268108674353,256.87068587245733,0.9612884009273078
51,Armenia,1985,40--64,Female,247.11850994131464,256.87068587245733,0.9620346872278572
51,Armenia,1990,40--64,Female,248.20782633119725,256.87068587245733,0.9662754061957798
51,Armenia,1995,40--64,Female,250.74308413661026,256.87068587245733,0.9761451887161248
51,Armenia,2000,40--64,Female,251.80810761736112,256.87068587245733,0.9802913351599415
51,Armenia,2005,40--64,Female,251.72807570998032,256.87068587245733,0.9799797701905524
51,Armenia,2010,40--64,Female,249.86066040293363,256.87068587245733,0.9727099048078832
51,Armenia,2015,40--64,Female,247.23513537375678,256.87068587245733,0.9624887111350462
51,Armenia,2020,40--64,Female,245.87025043383176,256.87068587245733,0.9571752012057633
51,Armenia,2025,40--64,Female,245.32693300557347,256.87068587245733,0.9550600613391299
51,Armenia,1970,40--64,Male,255.98113780392794,256.87068587245733,0.9965369809890605
51,Armenia,1975,40--64,Male,257.5986740350219,256.87068587245733,1.002834064775013
51,Armenia,1980,40--64,Male,258.4751214989449,256.87068587245733,1.0062460830088031
51,Armenia,1985,40--64,Male,257.1864199050265,256.87068587245733,1.0012291555632236
51,Armenia,1990,40--64,Male,256.8926195463375,256.87068587245733,1.000085387999046
51,Armenia,1995,40--64,Male,258.2642994510811,256.87068587245733,1.0054253507903808
51,Armenia,2000,40--64,Male,255.94363507721036,256.87068587245733,0.9963909825206475
51,Armenia,2005,40--64,Male,254.70249532869192,256.87068587245733,0.9915592137872752
51,Armenia,2010,40--64,Male,251.50983876492865,256.87068587245733,0.9791301717075241
51,Armenia,2015,40--64,Male,248.9262049424531,256.87068587245733,0.9690720608970194
51,Armenia,2020,40--64,Male,245.99926040818823,256.87068587245733,0.9576774382512957
51,Armenia,2025,40--64,Male,244.04478608997496,256.87068587245733,0.9500686513179992
40,Austria,1970,20--39,Both,272.54094424240765,269.7014710297242,1.01052820810299
40,Austria,1975,20--39,Both,272.69139736273974,269.7014710297242,1.0110860586766544
40,Austria,1980,20--39,Both,272.3236966904379,269.7014710297242,1.0097226969163424
40,Austria,1985,20--39,Both,273.9263420753835,269.7014710297242,1.0156649907378283
40,Austria,1990,20--39,Both,275.2172710939368,269.7014710297242,1.0204515015923095
40,Austria,1995,20--39,Both,275.78388926863653,269.7014710297242,1.0225524103212695
40,Austria,2000,20--39,Both,277.59997517001017,269.7014710297242,1.029286099590519
40,Austria,2005,20--39,Both,277.0996075123643,269.7014710297242,1.027430834746262
40,Austria,2010,20--39,Both,277.6129996719828,269.7014710297242,1.0293343918817064
40,Austria,2015,20--39,Both,279.0097164310594,269.7014710297242,1.0345131428679133
40,Austria,2020,20--39,Both,271.0791462318654,269.7014710297242,1.0051081486388682
40,Austria,2025,20--39,Both,274.9910172235865,269.7014710297242,1.0196125967487932
40,Austria,1970,20--39,Female,270.6354198130846,269.7014710297242,1.003462898366088
