country_code,year,age_group,sex,saf_dhs_mics
108,2010,40--64,Male,0.5947605365970072
108,2010,20--39,Both,0.6535174238813813
108,2010,20--64,Both,0.6020186898927857
108,2010,40--64,Both,0.46256205184853316
108,2015,20--39,Female,0.617274768983594
108,2015,20--64,Female,0.5783003451834697
108,2015,40--64,Female,0.43090465194321825
108,2015,20--39,Male,0.7104163414394039
108,2015,20--64,Male,0.6612526598039304
108,2015,40--64,Male,0.5644677799167788
108,2015,20--39,Both,0.663876976527371
108,2015,20--64,Both,0.619779550379943
108,2015,40--64,Both,0.4976908813216586
112,2005,20--39,Female,1.0137687355040705
112,2005,20--64,Female,1.013081730588
112,2005,40--64,Female,1.0166924032337803
112,2005,20--39,Male,1.0137469631460905
112,2005,20--64,Male,1.0129464985931753
112,2005,40--64,Male,1.0028753884210124
112,2005,20--39,Both,1.013782931338733
112,2005,20--64,Both,1.0130166661587956
112,2005,40--64,Both,1.0098210406211259
112,2010,20--39,Female,1.0143999498293697
112,2010,20--64,Female,1.0137061429158867
112,2010,40--64,Female,1.01669240323377
112,2010,20--39,Male,1.0137469631460905
112,2010,20--64,Male,1.013473917303994
112,2010,40--64,Male,1.0027570198921854
112,2010,20--39,Both,1.0140984446950099
112,2010,20--64,Both,1.0135925813933961
112,2010,40--64,Both,1.0097618657617902
112,2020,20--39,Female,1.0136942700329397
112,2020,20--64,Female,1.0133054295258606
112,2020,40--64,Female,1.016692403233768
112,2020,20--39,Male,1.0137469631460905
112,2020,20--64,Male,1.0136335412435444
112,2020,40--64,Male,1.017087688952451
112,2020,20--39,Both,1.0137457096696716
112,2020,20--64,Both,1.0134720463974733
112,2020,40--64,Both,1.0169260616351372
116,2005,20--39,Female,0.5551887837619154
116,2005,20--64,Female,0.5070086002771877
116,2005,40--64,Female,0.3908111722412985
116,2005,20--39,Male,0.6960701246556996
116,2005,20--64,Male,0.659639270867766
116,2005,40--64,Male,0.6103817104896212
116,2005,20--39,Both,0.6256676152553117
116,2005,20--64,Both,0.5833281391947303
116,2005,40--64,Both,0.5005928514383856
116,2010,20--39,Female,0.5435603131428967
116,2010,20--64,Female,0.48888143691324254
116,2010,40--64,Female,0.3573865285222898
116,2010,20--39,Male,0.6298126542583276
116,2010,20--64,Male,0.6091054594816352
116,2010,40--64,Male,0.5557759901063598
116,2010,20--39,Both,0.586714886645565
116,2010,20--64,Both,0.5489969850028161
116,2010,40--64,Both,0.4565781672749026
116,2015,20--39,Female,0.5663176405141407
116,2015,20--64,Female,0.5210005114984841
116,2015,40--64,Female,0.3996379939276042
116,2015,20--39,Male,0.6350496149955417
116,2015,20--64,Male,0.6205984251254705
116,2015,40--64,Male,0.5844001823604295
116,2015,20--39,Both,0.6007095565423746
116,2015,20--64,Both,0.5708026907693962
116,2015,40--64,Both,0.4920185769031167
116,2020,20--39,Female,0.3413109288989861
116,2020,20--64,Female,0.4855840916534117
116,2020,40--64,Female,0.16678500845851327
116,2020,20--39,Male,0.39333532762752754
116,2020,20--64,Male,0.5712293343029534
116,2020,40--64,Male,0.2971696385453973
116,2020,20--39,Both,0.36734059285600706
116,2020,20--64,Both,0.5284095787236064
116,2020,40--64,Both,0.23197287705084607
120,2005,20--39,Female,0.5949031612042989
120,2005,20--64,Female,0.6000496820133372
120,2005,40--64,Female,0.4673256772366164
120,2005,20--39,Male,0.7588195857314691
120,2005,20--64,Male,0.7555828417851305
120,2005,40--64,Male,0.6669300702014866
120,2005,20--39,Both,0.6769045105574045
120,2005,20--64,Both,0.6778207557246181
120,2005,40--64,Both,0.5671285830516802
120,2010,20--39,Female,0.5959459370771583
120,2010,20--64,Female,0.5730397410364291
120,2010,40--64,Female,0.44302465770160526
120,2010,20--39,Male,0.7648858109255845
120,2010,20--64,Male,0.7385600775004244
120,2010,40--64,Male,0.6676550262173031
120,2010,20--39,Both,0.6804599077477501
120,2010,20--64,Both,0.6558045264139991
120,2010,40--64,Both,0.5553377012341326
120,2015,20--39,Female,0.5888347422150226
120,2015,20--64,Female,0.6140500355892635
120,2015,40--64,Female,0.5574877112212304
120,2015,20--39,Male,0.7946800560174395
120,2015,20--64,Male,0.7768579710599826
120,2015,40--64,Male,0.7048105716844172
120,2015,20--39,Both,0.6918076547352592
120,2015,20--64,Both,0.6954586718778264
120,2015,40--64,Both,0.6311572015693919
120,2020,20--39,Female,0.6054924539807193
120,2020,20--64,Female,0.5677829968072576
120,2020,40--64,Female,0.46715997497897954
120,2020,20--39,Male,0.7372683846204026
120,2020,20--64,Male,0.7033637528824965
120,2020,40--64,Male,0.6391729553321337
120,2020,20--39,Both,0.6714182466230155
120,2020,20--64,Both,0.6355774049067221
120,2020,40--64,Both,0.5531693609148244
140,2005,20--39,Female,0.25043998109932825
140,2005,20--64,Female,0.23760454812108545
140,2005,40--64,Female,0.1779986581764801
140,2005,20--39,Male,0.6403852959699549
140,2005,20--64,Male,0.615459094224582
140,2005,40--64,Male,0.5951115602468517
140,2005,20--39,Both,0.44548643568887486
140,2005,20--64,Both,0.42653966228434836
140,2005,40--64,Both,0.3865282780773877
140,2010,20--39,Female,0.2584679379607861
140,2010,20--64,Female,0.2573939981161185
140,2010,40--64,Female,0.2114532913915187
140,2010,20--39,Male,0.49157754901039413
140,2010,20--64,Male,0.5179137485209772
140,2010,40--64,Male,0.5476886149592406
140,2010,20--39,Both,0.37506955062579816
140,2010,20--64,Both,0.3876595154506479
140,2010,40--64,Both,0.379551734383139
140,2020,20--39,Female,0.2500096521762754
140,2020,20--64,Female,0.25246893167347384
140,2020,40--64,Female,0.18629156685522485
140,2020,20--39,Male,0.49814945834762725
140,2020,20--64,Male,0.4810080129450529
140,2020,40--64,Male,0.48063986913707224
140,2020,20--39,Both,0.3741287587002612
140,2020,20--64,Both,0.36674348907376625
140,2020,40--64,Both,0.33344893526463915
148,2010,20--39,Female,0.12232244267717701
148,2010,20--64,Female,0.14354991506565742
148,2010,40--64,Female,0.07267756774532039
148,2010,20--39,Male,0.44355316674152745
148,2010,20--64,Male,0.42708147145119646
148,2010,40--64,Male,0.3482655990405886
148,2010,20--39,Both,0.2829965193860525
148,2010,20--64,Both,0.28532148942008295
148,2010,40--64,Both,0.21045226307859288
148,2015,20--39,Female,0.146450520801911
148,2015,20--64,Female,0.12934776349667199
148,2015,40--64,Female,0.05206767488777502
148,2015,20--39,Male,0.4547446494246787
148,2015,20--64,Male,0.39131527229963775
148,2015,40--64,Male,0.2654787729995233
148,2015,20--39,Both,0.3006546541836382
148,2015,20--64,Both,0.2603368649509631
148,2015,40--64,Both,0.15875811322977892
148,2020,20--39,Female,0.16238154693578644
148,2020,20--64,Female,0.17082787201925623
148,2020,40--64,Female,0.0512863408698505
148,2020,20--39,Male,0.44372948347343033
148,2020,20--64,Male,0.3906221152337186
148,2020,40--64,Male,0.2525701743133043
148,2020,20--39,Both,0.30310830716137077
148,2020,20--64,Both,0.2807296369532278
148,2020,40--64,Both,0.15191408275863388
174,2010,20--39,Female,0.5109478440057112
174,2010,20--64,Female,0.47200629283355006
174,2010,40--64,Female,0.2937051060325299
174,2010,20--39,Male,0.6123327137221728
174,2010,20--64,Male,0.5824516805614905
174,2010,40--64,Male,0.47442483728093215
174,2010,20--39,Both,0.5616704981500968
174,2010,20--64,Both,0.5272322935375395
174,2010,40--64,Both,0.3840610257499542
174,2020,20--39,Female,0.6950285801968461
174,2020,20--64,Female,0.6815693301021664
174,2020,40--64,Female,0.37313592455233924
174,2020,20--39,Male,0.7558954984297259
174,2020,20--64,Male,0.7360037073007469
174,2020,40--64,Male,0.5150632977695531
174,2020,20--39,Both,0.7254897895957291
174,2020,20--64,Both,0.708789280364346
174,2020,40--64,Both,0.4441015637665499
178,2005,20--39,Female,0.7074717843354312
178,2005,20--64,Female,0.6925735662722163
178,2005,40--64,Female,0.6169352420667055
178,2005,20--39,Male,0.84658246110359
178,2005,20--64,Male,0.854472445976211
178,2005,40--64,Male,0.8647810117140433
178,2005,20--39,Both,0.7770687450628434
178,2005,20--64,Both,0.7735278552260496
178,2005,40--64,Both,0.7408603075839371
178,2010,20--39,Female,0.7524898354117222
178,2010,20--64,Female,0.7469701999544722
178,2010,40--64,Female,0.7124945332679796
178,2010,20--39,Male,0.8582723248011288
178,2010,20--64,Male,0.8719433376058352
178,2010,40--64,Male,0.8949812976694521
178,2010,20--39,Both,0.805418038729324
178,2010,20--64,Both,0.8094610472963227
178,2010,40--64,Both,0.8037486773895063
178,2015,20--39,Female,0.7902250513949352
178,2015,20--64,Female,0.8038606466514774
178,2015,40--64,Female,0.7831665018617024
178,2015,20--39,Male,0.8737327349292981
178,2015,20--64,Male,0.8842462726108662
178,2015,40--64,Male,0.8978236515268764
178,2015,20--39,Both,0.8320129240383096
178,2015,20--64,Both,0.8440570270013605
178,2015,40--64,Both,0.8405137337639309
180,2005,20--39,Female,0.5112463213848305
180,2005,20--64,Female,0.4805936367770231
180,2005,40--64,Female,0.36571937334849086
180,2005,20--39,Male,0.7925048257512659
180,2005,20--64,Male,0.7814106808077976
180,2005,40--64,Male,0.7592277565632415
180,2005,20--39,Both,0.6519369827076748
180,2005,20--64,Both,0.6310091360001114
180,2005,40--64,Both,0.5624552650010648
180,2010,20--39,Female,0.48242295705271343
180,2010,20--64,Female,0.4777436481011953
180,2010,40--64,Female,0.3759213631788061
180,2010,20--39,Male,0.6725682642482068
180,2010,20--64,Male,0.6907071445371005
180,2010,40--64,Male,0.6853954770129748
180,2010,20--39,Both,0.577540511385403
180,2010,20--64,Both,0.5842306825153717
180,2010,40--64,Both,0.5306471588757373
180,2015,20--39,Female,0.5514248560688884
180,2015,20--64,Female,0.547842418837646
180,2015,40--64,Female,0.4672973239024225
180,2015,20--39,Male,0.8255114423683777
180,2015,20--64,Male,0.8184959269577117
180,2015,40--64,Male,0.8073747889069817
180,2015,20--39,Both,0.6885293092725551
180,2015,20--64,Both,0.6831757415286474
180,2015,40--64,Both,0.6373256033120391
188,2010,20--39,Female,0.9804811843073106
188,2010,20--64,Female,0.9792765175802451
188,2010,40--64,Female,0.963490230214203
188,2010,20--39,Male,0.9697266776302498
188,2010,20--64,Male,0.9510163771466488
188,2010,40--64,Male,0.9291338932782882
188,2010,20--39,Both,0.9751263286779064
188,2010,20--64,Both,0.9651483746526556
188,2010,40--64,Both,0.9463489522217681
188,2020,20--39,Female,0.9951508759357238
188,2020,20--64,Female,0.9893369844459268
188,2020,40--64,Female,0.9685350073868145
188,2020,20--39,Male,0.9850697049331659
188,2020,20--64,Male,0.9604654603131991
188,2020,40--64,Male,0.9315369000175249
188,2020,20--39,Both,0.9901331678741373
188,2020,20--64,Both,0.9749031633150524
188,2020,40--64,Both,0.9500732329452192
192,2020,20--39,Female,1.0107224400461357
192,2020,20--64,Female,1.008774611950405
192,2020,40--64,Female,1.0095236349764722
192,2020,20--39,Male,0.9991818722756373
192,2020,20--64,Male,0.999096193577158
192,2020,40--64,Male,1.0009409963671783
192,2020,20--39,Both,1.0049751659226023
192,2020,20--64,Both,1.0039377605655424
192,2020,40--64,Both,1.0052687903937425
204,2005,20--39,Female,0.18372897920735648
204,2005,20--64,Female,0.17707356417647477
204,2005,40--64,Female,0.12507353173441257
204,2005,20--39,Male,0.4277094098076561
204,2005,20--64,Male,0.3914444658489318
204,2005,40--64,Male,0.3100672341186803
204,2005,20--39,Both,0.3057660367657818
204,2005,20--64,Both,0.2842635701406393
204,2005,40--64,Both,0.21756011857489302
204,2010,20--39,Female,0.22662360233861678
204,2010,20--64,Female,0.21647574370980888
204,2010,40--64,Female,0.17474357045034727
204,2010,20--39,Male,0.49026075576138023
204,2010,20--64,Male,0.4303981509022041
204,2010,40--64,Male,0.3366199662194867
204,2010,20--39,Both,0.35849349038208805
204,2010,20--64,Both,0.32344159317790605
204,2010,40--64,Both,0.2556751018477149
204,2015,20--39,Female,0.24588123538579967
204,2015,20--64,Female,0.2546177642779797
204,2015,40--64,Female,0.14015790623985755
204,2015,20--39,Male,0.40950854059313346
204,2015,20--64,Male,0.4256889759391563
204,2015,40--64,Male,0.3040036427798348
204,2015,20--39,Both,0.32772933838260915
204,2015,20--64,Both,0.34015729084508467
204,2015,40--64,Both,0.222072725307992
204,2020,20--39,Female,0.33056650184638636
204,2020,20--64,Female,0.3295478895624858
204,2020,40--64,Female,0.11072813682455766
204,2020,20--39,Male,0.5641154410711456
204,2020,20--64,Male,0.5266187038032738
204,2020,40--64,Male,0.30687093765048257
204,2020,20--39,Both,0.4473896388445693
204,2020,20--64,Both,0.42808790464743146
204,2020,40--64,Both,0.20878787840608773
214,2005,20--39,Female,0.8903773506279696
214,2005,20--64,Female,0.8666851627791893
214,2005,40--64,Female,0.7935158934794362
214,2005,20--39,Male,0.8231612591067398
214,2005,20--64,Male,0.7841675921455523
214,2005,40--64,Male,0.7070998491287115
214,2005,20--39,Both,0.8567796849032143
214,2005,20--64,Both,0.8254269809752716
214,2005,40--64,Both,0.7503428717723158
214,2015,20--39,Female,0.9129536002581142
214,2015,20--64,Female,0.8930382948230134
214,2015,40--64,Female,0.811708152627248
214,2015,20--39,Male,0.8563548568741789
214,2015,20--64,Male,0.8215329104380349
214,2015,40--64,Male,0.7552815845482983
214,2015,20--39,Both,0.884667007851447
214,2015,20--64,Both,0.8572864836470829
214,2015,40--64,Both,0.7835281312226873
214,2020,20--39,Female,0.9295802171124362
214,2020,20--64,Female,0.9196104584172865
214,2020,40--64,Female,0.859745440699558
214,2020,20--39,Male,0.8873792065617606
214,2020,20--64,Male,0.8564501125571574
214,2020,40--64,Male,0.7938159702986036
214,2020,20--39,Both,0.9084953985062475
214,2020,20--64,Both,0.8880313934403422
214,2020,40--64,Both,0.8268164263637843
222,2015,20--39,Female,0.923277986189253
222,2015,20--64,Female,0.907069755401651
222,2015,40--64,Female,0.8009576513184192
222,2015,20--39,Male,0.9212414237888057
222,2015,20--64,Male,0.9122966334255155
222,2015,40--64,Male,0.8303478984320962
222,2015,20--39,Both,0.9222821985226533
222,2015,20--64,Both,0.9096855814783849
222,2015,40--64,Both,0.8156788376941305
231,2005,20--39,Female,0.16429986167933636
231,2005,20--64,Female,0.16733159310498827
231,2005,40--64,Female,0.053291737238014905
231,2005,20--39,Male,0.4480649966810659
231,2005,20--64,Male,0.42381326739065267
231,2005,40--64,Male,0.2915100465568207
231,2005,20--39,Both,0.3062356876456199
231,2005,20--64,Both,0.29557776792158297
231,2005,40--64,Both,0.17238385350253177
231,2010,20--39,Female,0.24535719478699283
231,2010,20--64,Female,0.21410868878637127
231,2010,40--64,Female,0.08966411598669112
231,2010,20--39,Male,0.4983257023400827
231,2010,20--64,Male,0.45834594658168515
231,2010,40--64,Male,0.36338102746311474
231,2010,20--39,Both,0.3718913739686634
231,2010,20--64,Both,0.33623253861123076
231,2010,40--64,Both,0.22650400234220983
231,2015,20--39,Female,0.25019841437691304
231,2015,20--64,Female,0.22545697719431
231,2015,40--64,Female,0.12095801690827104
231,2015,20--39,Male,0.5256535483681651
231,2015,20--64,Male,0.4791961283307304
231,2015,40--64,Male,0.3796401977210152
231,2015,20--39,Both,0.38797992480237276
231,2015,20--64,Both,0.35233198441678354
231,2015,40--64,Both,0.25028284205958296
231,2020,20--39,Female,0.3133093767618335
231,2020,20--64,Female,0.28241976294234294
231,2020,40--64,Female,0.14804428546155285
231,2020,20--39,Male,0.4806554989492532
231,2020,20--64,Male,0.4574475669317011
231,2020,40--64,Male,0.3951089714619589
231,2020,20--39,Both,0.3970192014487226
231,2020,20--64,Both,0.3699377316005231
231,2020,40--64,Both,0.27156224663253586
242,2020,20--39,Female,0.9786673827437696
242,2020,20--64,Female,0.9691449818828056
242,2020,40--64,Female,0.9308934233669153
242,2020,20--39,Male,0.9585894691135219
242,2020,20--64,Male,0.945785883456804
242,2020,40--64,Male,0.8931056847012194
242,2020,20--39,Both,0.9686491624713428
242,2020,20--64,Both,0.9574674283503701
242,2020,40--64,Both,0.912035561431185
262,2005,20--39,Female,0.33086686031765883
262,2005,20--64,Female,0.34054975711026564
262,2005,40--64,Female,0.13755744178212423
266,2010,20--39,Female,0.8527771891645
266,2010,20--64,Female,0.8462632569650255
266,2010,40--64,Female,0.7882081140389151
266,2010,20--39,Male,0.8697451304182874
266,2010,20--64,Male,0.8625869187981263
266,2010,40--64,Male,0.8369120940602918
266,2010,20--39,Both,0.8612852033529619
266,2010,20--64,Both,0.8544275343264505
266,2010,40--64,Both,0.8125841802413106
266,2020,20--39,Female,0.8563511916777842
266,2020,20--64,Female,0.8212564200693108
266,2020,40--64,Female,0.7459879960831646
266,2020,20--39,Male,0.8473653905957901
266,2020,20--64,Male,0.8428220076245171
266,2020,40--64,Male,0.838025413604592
266,2020,20--39,Both,0.8518779238579811
266,2020,20--64,Both,0.8320416977133266
266,2020,40--64,Both,0.7920258410172709
268,2005,20--39,Female,1.0069229118737444
268,2005,20--64,Female,1.006236807797161
268,2005,40--64,Female,1.0095809804856992
268,2005,20--39,Male,1.0124904289942476
268,2005,20--64,Male,1.00097922786434
268,2005,40--64,Male,0.9895830972589673
268,2005,20--39,Both,1.0097325519931946
268,2005,20--64,Both,1.0036104539653035
268,2005,40--64,Both,0.9996194226364367
268,2020,20--39,Female,1.0098391607168524
268,2020,20--64,Female,1.0098053457265679
268,2020,40--64,Female,1.0131691147760147
268,2020,20--39,Male,1.0094440767937582
268,2020,20--64,Male,1.0104034843146996
268,2020,40--64,Male,1.014475698311519
268,2020,20--39,Both,1.0096665388149078
268,2020,20--64,Both,1.0101069723844798
268,2020,40--64,Both,1.0138582247591592
270,2005,20--39,Female,0.24782289471638413
270,2005,20--64,Female,0.28747661908769906
270,2005,40--64,Female,0.09371234130604149
270,2005,20--39,Male,0.481044118533309
270,2005,20--64,Male,0.48351314394530504
270,2005,40--64,Male,0.28725375513591717
270,2005,20--39,Both,0.36448006970153746
270,2005,20--64,Both,0.3854993635883765
270,2005,40--64,Both,0.19047099278814703
270,2010,20--39,Female,0.30803962172800814
270,2010,20--64,Female,0.3452853045119574
270,2010,40--64,Female,0.10549419826353236
270,2010,20--39,Male,0.5188469396236688
270,2010,20--64,Male,0.5323993607379249
270,2010,40--64,Male,0.31340022382296934
270,2010,20--39,Both,0.4134874481985454
270,2010,20--64,Both,0.43884678943226507
270,2010,40--64,Both,0.2094344319838239
270,2020,20--39,Female,0.4779623655033266
270,2020,20--64,Female,0.48795421706672526
270,2020,40--64,Female,0.2323394679393165
270,2020,20--39,Male,0.6635290909145749
270,2020,20--64,Male,0.6427149996894022
270,2020,40--64,Male,0.5285219605373096
270,2020,20--39,Both,0.5707897248340981
270,2020,20--64,Both,0.5653388047871462
270,2020,40--64,Both,0.38041541840328574
275,2015,20--39,Female,0.9569597242304274
275,2015,20--64,Female,0.9328660536656134
275,2015,40--64,Female,0.8335895710121491
